view,angry
61461,4986
59617,402
55787,557
55215,25
54510,225
53666,307
47739,854
47101,934
46295,2384
44617,11
43365,823
42047,196
39162,2379
100810,30
99243,7131
88258,911
82565,27
76304,402
74303,7748
71478,3521
67146,5111
66363,75
61254,4756
60851,1898
57200,92
57071,12
56005,53
55773,367
54883,1298
54773,810
52006,881
50335,153
48606,774
48467,85
47997,94
46563,149
45538,554
44831,247
43876,290
43728,4037
43531,1561
43431,663
42983,313
161648,2448
134284,6275
110650,691
104718,1168
101093,12558
96449,1239
93269,66
83849,4060
83711,373
83293,546
79999,1809
78783,924
77998,648
77399,5884
76107,575
74734,2746
71511,44
69827,670
68982,5645
67174,536
65395,2798
64200,1355
62716,24
59337,426
59039,554
57303,316
54203,632
53101,332
50246,944
48671,765
103002,1884
102113,6972
100012,7739
99664,1775
84776,715
72027,1809
67881,348
65956,204
65512,216
61382,603
58213,68
55266,381
53732,60
53728,3599
53600,2240
52317,246
50758,536
50372,4289
49058,563
48892,652
47803,376
46614,465
46043,446
45937,8
45550,836
45387,513
45298,318
45063,617
44571,563
43262,1014
172374,9691
130982,5131
108641,70
102745,6706
98202,3725
93967,150
92644,279
91081,192
72924,204
66293,4978
61204,245
59247,46
58418,826
58183,792
57647,855
53548,283
51356,453
48524,395
48440,1134
47261,68
46744,741
46185,1395
45798,118
44286,22
43748,378
43650,509
43261,247
41314,530
41081,247
40453,729
124537,368
123409,37
122156,5769
101204,564
91762,87
91185,63
90218,216
86855,2838
79438,385
76870,3184
74955,508
64022,548
61640,1790
60438,990
59410,204
55696,2417
55155,1741
53056,63
50481,5131
49346,1496
49016,1134
48386,22
48238,150
46041,16
46026,697
44956,792
44423,677
43452,769
43347,959
41166,502
98129,63
97145,17615
87934,1605
86422,200
82620,3200
73039,1613
70687,5880
68565,2470
67805,1730
67052,1880
64991,487
63913,1017
56129,1655
50996,2404
50671,141
49574,644
47122,454
47055,54
45880,906
45710,242
45442,834
44637,153
44576,432
44465,667
43870,879
43709,934
43254,1639
42713,353
41315,762
40960,1413
76337,44
63912,3206
63105,1346
58465,2523
56700,336
53832,2092
51726,2943
49633,82
48989,1200
47342,2026
46224,658
45917,1056
45601,1247
45420,393
45352,1415
44694,1130
44200,2732
42744,57
42552,2083
42448,3950
42007,894
40956,2074
40009,6277
39552,2655
39538,541
38676,406
38374,2495
37813,642
37341,551
37184,1286
139183,15637
83938,1132
80565,3012
79163,1220
74592,2336
64055,1085
62190,2978
58413,1997
57474,50
56409,1671
55521,967
55060,3671
53540,100
52216,4055
50685,523
49300,4541
49093,9
47424,3227
47043,964
44640,915
43893,439
43132,699
40519,98
39318,2127
39031,5151
37929,529
37915,10
37634,3017
36734,414
35557,347
132853,2139
116020,129
113460,15074
106176,2892
105872,1338
104529,7746
101792,1440
95018,128
92138,1656
88278,2005
71847,682
64354,270
58414,752
55897,2084
55427,607
54568,1860
53144,7445
51521,1234
51012,566
49495,2494
49110,1907
48001,59
46920,2857
45727,690
45715,675
41999,477
39088,534
36446,181
36131,54
35890,706
186204,7218
117457,5263
101882,1509
93789,1326
87791,4028
84398,120
70529,3457
68268,249
65283,7521
62974,1925
61680,1459
58826,66
51688,2561
50235,319
48077,837
46394,106
44715,1145
44325,61
44298,117
43913,2892
42418,1364
41480,520
41091,342
39907,512
39626,1158
39618,266
37953,46
37394,4643
37391,152
37383,22
215066,13547
165711,7521
164084,613
130156,2997
110186,6930
101019,1921
99028,108
97663,2531
93109,601
91648,424
84350,815
78477,1827
74198,71
71386,115
69362,72
68889,475
67420,162
67193,237
65119,3205
65062,86
61861,152
60029,1715
58937,1280
56624,217
55565,475
54963,5423
53503,264
52873,2342
52528,1705
51885,808
143137,1326
132818,1063
121055,3859
114264,719
107124,145
95769,102
83168,317
77580,1715
72939,901
71961,1129
60724,855
58974,28
58885,2000
58868,3212
58264,103
55832,5423
54289,310
53961,85
51447,4867
51207,471
51113,323
50893,747
48598,8
47505,230
46188,1600
45469,587
43193,38
41940,6
41417,367
40953,276
252953,6272
144160,34
119490,4887
112544,309
89878,17
88642,31
87416,354
85792,2044
83534,17
82428,13
72667,3088
70852,2072
70573,2194
70051,805
67423,3649
62592,2770
60300,1857
58031,4671
55012,1419
54172,897
53711,1126
52308,561
49902,408
49896,1026
48914,1758
48871,2389
48277,1058
48015,98
47503,1417
46698,3619
140631,205
113940,810
112474,5990
110120,1959
107037,3396
89017,1145
85506,4613
78778,3479
70734,250
69026,1063
64762,2611
63208,4505
61596,72
61274,722
